"ID";"ModesOfTravel";"Population";"Margins";"RegionCharacteristics";"Periods";"TransportPerformance_1"
"197";"T001093";"A048710";"MOG0095";"1018850 ";"2020JJ00";"    30.2"
"198";"T001093";"A048710";"MOG0095";"1018850 ";"2021JJ00";"    35.1"
"199";"T001093";"A048710";"MOG0095";"1018850 ";"2022JJ00";"    39.4"
"200";"T001093";"A048710";"MOG0095";"1018905 ";"2018JJ00";"    64.0"
"201";"T001093";"A048710";"MOG0095";"1018905 ";"2019JJ00";"    64.3"
"202";"T001093";"A048710";"MOG0095";"1018905 ";"2020JJ00";"    44.6"
"203";"T001093";"A048710";"MOG0095";"1018905 ";"2021JJ00";"    49.1"
"204";"T001093";"A048710";"MOG0095";"1018905 ";"2022JJ00";"    54.4"
"205";"T001093";"A048710";"MOG0095";"1018955 ";"2018JJ00";"    33.2"
"206";"T001093";"A048710";"MOG0095";"1018955 ";"2019JJ00";"    33.9"
"207";"T001093";"A048710";"MOG0095";"1018955 ";"2020JJ00";"    23.5"
"208";"T001093";"A048710";"MOG0095";"1018955 ";"2021JJ00";"    24.5"
"209";"T001093";"A048710";"MOG0095";"1018955 ";"2022JJ00";"    29.6"
"210";"T001093";"A048710";"MOG0095";"1019005 ";"2018JJ00";"    50.0"
"211";"T001093";"A048710";"MOG0095";"1019005 ";"2019JJ00";"    48.5"
"212";"T001093";"A048710";"MOG0095";"1019005 ";"2020JJ00";"    34.3"
"213";"T001093";"A048710";"MOG0095";"1019005 ";"2021JJ00";"    39.2"
"214";"T001093";"A048710";"MOG0095";"1019005 ";"2022JJ00";"    42.7"
"215";"T001093";"A048710";"MOG0095";"1019052 ";"2018JJ00";"    17.6"
"216";"T001093";"A048710";"MOG0095";"1019052 ";"2019JJ00";"    18.5"
"217";"T001093";"A048710";"MOG0095";"1019052 ";"2020JJ00";"    13.2"
"218";"T001093";"A048710";"MOG0095";"1019052 ";"2021JJ00";"    13.8"
"219";"T001093";"A048710";"MOG0095";"1019052 ";"2022JJ00";"    13.6"
"220";"T001093";"A048710";"MBG0095";"NL01    ";"2018JJ00";"   221.6"
"221";"T001093";"A048710";"MBG0095";"NL01    ";"2019JJ00";"   222.6"
"222";"T001093";"A048710";"MBG0095";"NL01    ";"2020JJ00";"   154.7"
"223";"T001093";"A048710";"MBG0095";"NL01    ";"2021JJ00";"   171.2"
"224";"T001093";"A048710";"MBG0095";"NL01    ";"2022JJ00";"   190.0"
"225";"T001093";"A048710";"MBG0095";"LD01    ";"2018JJ00";"    26.4"
"226";"T001093";"A048710";"MBG0095";"LD01    ";"2019JJ00";"    26.8"
"227";"T001093";"A048710";"MBG0095";"LD01    ";"2020JJ00";"    18.2"
"228";"T001093";"A048710";"MBG0095";"LD01    ";"2021JJ00";"    20.6"
"229";"T001093";"A048710";"MBG0095";"LD01    ";"2022JJ00";"    22.9"
"230";"T001093";"A048710";"MBG0095";"LD02    ";"2018JJ00";"    51.2"
"231";"T001093";"A048710";"MBG0095";"LD02    ";"2019JJ00";"    51.8"
"232";"T001093";"A048710";"MBG0095";"LD02    ";"2020JJ00";"    36.5"
"233";"T001093";"A048710";"MBG0095";"LD02    ";"2021JJ00";"    40.3"
"234";"T001093";"A048710";"MBG0095";"LD02    ";"2022JJ00";"    44.8"
"235";"T001093";"A048710";"MBG0095";"LD03    ";"2018JJ00";"   101.2"
"236";"T001093";"A048710";"MBG0095";"LD03    ";"2019JJ00";"   102.1"
"237";"T001093";"A048710";"MBG0095";"LD03    ";"2020JJ00";"    70.1"
"238";"T001093";"A048710";"MBG0095";"LD03    ";"2021JJ00";"    77.9"
"239";"T001093";"A048710";"MBG0095";"LD03    ";"2022JJ00";"    84.7"
"240";"T001093";"A048710";"MBG0095";"LD04    ";"2018JJ00";"    46.8"
"241";"T001093";"A048710";"MBG0095";"LD04    ";"2019JJ00";"    46.2"
"242";"T001093";"A048710";"MBG0095";"LD04    ";"2020JJ00";"    32.9"
"243";"T001093";"A048710";"MBG0095";"LD04    ";"2021JJ00";"    35.5"
"244";"T001093";"A048710";"MBG0095";"LD04    ";"2022JJ00";"    41.0"
"245";"T001093";"A048710";"MBG0095";"PV20    ";"2018JJ00";"     8.6"
"246";"T001093";"A048710";"MBG0095";"PV20    ";"2019JJ00";"     9.1"
"247";"T001093";"A048710";"MBG0095";"PV20    ";"2020JJ00";"     6.1"
"248";"T001093";"A048710";"MBG0095";"PV20    ";"2021JJ00";"     7.0"
"249";"T001093";"A048710";"MBG0095";"PV20    ";"2022JJ00";"     7.8"
"250";"T001093";"A048710";"MBG0095";"PV21    ";"2018JJ00";"    10.5"
"251";"T001093";"A048710";"MBG0095";"PV21    ";"2019JJ00";"    11.1"
"252";"T001093";"A048710";"MBG0095";"PV21    ";"2020JJ00";"     7.5"
"253";"T001093";"A048710";"MBG0095";"PV21    ";"2021JJ00";"     8.2"
"254";"T001093";"A048710";"MBG0095";"PV21    ";"2022JJ00";"     9.3"
"255";"T001093";"A048710";"MBG0095";"PV22    ";"2018JJ00";"     8.3"
"256";"T001093";"A048710";"MBG0095";"PV22    ";"2019JJ00";"     7.8"
"257";"T001093";"A048710";"MBG0095";"PV22    ";"2020JJ00";"     5.4"
"258";"T001093";"A048710";"MBG0095";"PV22    ";"2021JJ00";"     6.3"
"259";"T001093";"A048710";"MBG0095";"PV22    ";"2022JJ00";"     6.8"
"260";"T001093";"A048710";"MBG0095";"PV23    ";"2018JJ00";"    16.5"
"261";"T001093";"A048710";"MBG0095";"PV23    ";"2019JJ00";"    16.9"
"262";"T001093";"A048710";"MBG0095";"PV23    ";"2020JJ00";"    11.4"
"263";"T001093";"A048710";"MBG0095";"PV23    ";"2021JJ00";"    12.6"
"264";"T001093";"A048710";"MBG0095";"PV23    ";"2022JJ00";"    14.3"
"265";"T001093";"A048710";"MBG0095";"PV24    ";"2018JJ00";"     6.6"
"266";"T001093";"A048710";"MBG0095";"PV24    ";"2019JJ00";"     6.7"
"267";"T001093";"A048710";"MBG0095";"PV24    ";"2020JJ00";"     4.9"
"268";"T001093";"A048710";"MBG0095";"PV24    ";"2021JJ00";"     5.4"
"269";"T001093";"A048710";"MBG0095";"PV24    ";"2022JJ00";"     6.0"
"270";"T001093";"A048710";"MBG0095";"PV25    ";"2018JJ00";"    29.2"
"271";"T001093";"A048710";"MBG0095";"PV25    ";"2019JJ00";"    29.5"
"272";"T001093";"A048710";"MBG0095";"PV25    ";"2020JJ00";"    21.3"
"273";"T001093";"A048710";"MBG0095";"PV25    ";"2021JJ00";"    23.3"
"274";"T001093";"A048710";"MBG0095";"PV25    ";"2022JJ00";"    25.6"
"275";"T001093";"A048710";"MBG0095";"PV26    ";"2018JJ00";"    17.9"
"276";"T001093";"A048710";"MBG0095";"PV26    ";"2019JJ00";"    20.0"
"277";"T001093";"A048710";"MBG0095";"PV26    ";"2020JJ00";"    13.3"
"278";"T001093";"A048710";"MBG0095";"PV26    ";"2021JJ00";"    14.2"
"279";"T001093";"A048710";"MBG0095";"PV26    ";"2022JJ00";"    15.8"
"280";"T001093";"A048710";"MBG0095";"PV27    ";"2018JJ00";"    36.8"
